id,text
1,"If sailor tales to sailor tunes, Storm and adventure, heat and cold, If schooners, islands, and maroons And Buccaneers and buried Gold, And all the old romance, retold Exactly in the ancient way, Can please, as me they pleased of old, The wiser youngsters of to-day: So be it, and fall on!"
2,"Squire Trelawney, Doctor Livesey, and the rest of these gentlemen having asked me to write down the whole particulars about Treasure Island, from the beginning to the end, keeping nothing back but the bearings of the island, and that only because there is still treasure not yet lifted, I take up my pen in the year of grace 17-, and go back to the time when my father kept the ""Admiral Benbow"" Inn, and the brown old seaman, with the saber cut, first took up his lodging under our roof."
3,"I remember him as if it were yesterday, as he came plodding to the inn door, his sea-chest following behind him in a hand-barrow; a tall, strong, heavy, nut-brown man; his tarry pig-tail falling over the shoulders of his soiled blue coat; his hands ragged and scarred, with black, broken nails, and the saber cut across one cheek, a dirty, livid white."
4,"I remember him looking round the cove and whistling to himself as he did so, and then breaking out in that old sea-song that he sang so often afterwards: ""Fifteen men on the dead man's chest, Yo-ho-ho and a bottle of rum!"""
5,"In the high, old tottering voice that seemed to have been tuned and broken at the capstan bars. Then he rapped on the door with a bit of stick like a handspike that he carried, and when my father appeared, called roughly for a glass of rum."
6,"This, when it was brought to him, he drank slowly, like a connoisseur, lingering on the taste, and still looking about him at the cliffs and up at our signboard. ""This is a handy cove,"" says he, at length; ""and a pleasant sittyated grog-shop. Much company, mate?"""
7,"My father told him no, very little company, the more was the pity. ""Well, then,"" said he, ""this is the berth for me. Here you, matey,"" he cried to the man who trundled the barrow; ""bring up alongside and help up my chest. I'll stay here a bit,"" he continued."
8,"""I'm a plain man; rum and bacon and eggs is what I want, and that head up there for to watch ships off. What you mought call me? You mought call me captain. Oh, I see what you're at-there""; and he threw down three or four gold pieces on the threshold."
9,"""You can tell me when I've worked through that,"" said he, looking as fierce as a commander. And, indeed, bad as his clothes were, and coarsely as he spoke, he had none of the appearance of a man who sailed before the mast, but seemed like a mate or skipper, accustomed to be obeyed or to strike."
10,"The man who came with the barrow told us the mail had set him down the morning before at the ""Royal George""; that he had inquired what inns there were along the coast, and hearing ours well spoken of, I suppose, and described as lonely, had chosen it from the others for his place of residence."
11,"And that was all we could learn of our guest. He was a very silent man by custom. All day he hung round the cove, or upon the cliffs, with a brass telescope; all evening he sat in a corner of the parlor next the fire, and drank rum and water very strong."
12,"Mostly he would not speak when spoken to; only look up sudden and fierce, and blow through his nose like a fog-horn; and we and the people who came about our house soon learned to let him be. Every day, when he came back from his stroll, he would ask if any seafaring men had gone by along the road."
13,"When a seaman put up at the ""Admiral Benbow"" (as now and then some did, making by the coast road for Bristol), he would look in at him through the curtained door before he entered the parlor; and he was always sure to be as silent as a mouse when any such was present."
14,"For me, at least, there was no secret about the matter; for I was, in a way, a sharer in his alarms. He had taken me aside one day and promised me a silver fourpenny on the first of every month if I would only keep my ""weather eye open for a seafaring man with one leg,"" and let him know the moment he appeared."
15,"Often enough when the first of the month came round, and I applied to him for my wage, he would only blow through his nose at me, and stare me down; but before the week was out he was sure to think better of it, bring me my fourpenny piece, and repeat his orders to look out for ""the seafaring man with one leg."""
16,"How that personage haunted my dreams, I need scarcely tell you. On stormy nights, when the wind shook the four corners of the house, and the surf roared along the cove and up the cliffs, I would see him in a thousand forms, and with a thousand diabolical expressions."
17,"And altogether I paid pretty dear for my monthly fourpenny piece, in the shape of these abominable fancies. But though I was so terrified by the idea of the seafaring man with one leg, I was far less afraid of the captain himself than anybody else who knew him."
18,"There were nights when he took a deal more rum and water than his head would carry; and then he would sometimes sit and sing his wicked, old, wild sea-songs, minding nobody; but sometimes he would call for glasses round, and force all the trembling company to listen to his stories or bear a chorus to his singing."
19,"Often I have heard the house shaking with ""Yo-ho-ho and a bottle of rum,"" all the neighbors joining in for dear life, with the fear of death upon them, and each singing louder than the other to avoid remark."
20,"For in these fits he was the most overriding companion ever known; he would slap his hand on the table for silence all around; he would fly up in a passion of anger at a question, or sometimes because none was put, and so he judged the company was not following his story."
21,"Nor would he allow anyone to leave the inn till he had drunk himself sleepy and reeled off to bed. His stories were what frightened people worst of all. Dreadful stories they were; about hanging, and walking the plank, and storms at sea, and the Dry Tortugas, and wild deeds and places on the Spanish Main."
22,"By his own account, he must have lived his life among some of the wickedest men that God ever allowed upon the sea; and the language in which he told these stories shocked our plain country people almost as much as the crimes that he described."
23,"People were frightened at the time, but on looking back they rather liked it; it was a fine excitement in a quiet country life; and there was even a party of the younger men who pretended to admire him, calling him a ""true sea-dog,"" and a ""real old salt,"" and such like names, and saying there was the sort of man that made England terrible at sea."
24,"I remember the appearance of his coat, which he patched himself upstairs in his room, and which, before the end, was nothing but patches. He never wrote or received a letter, and he never spoke with any but the neighbors, and with these, for the most part, only when drunk on rum."
78,"Now, if I can't get away nohow, and they tip me the black spot, mind you, it's my old sea-chest they're after; you get on a horse-you can, can't you?"
25,"I followed him in, and I remember observing the contrast the neat, bright doctor, with his powder as white as snow, and his bright, black eyes and pleasant manners, made with the coltish country folk, and above all, with that filthy, heavy, bleared scarecrow of a pirate of ours, sitting far gone in rum, with his arms on the table."
26,"Suddenly he-the captain, that is-began to pipe up his eternal song: ""Fifteen men on the dead man's chest- Yo-ho-ho and a bottle of rum! Drink and the devil had done for the rest- Yo-ho-ho and a bottle of rum!"""
27,"At first I had supposed ""the dead man's chest"" to be that identical big box of his upstairs in the front room, and the thought had been mingled in my nightmares with that of the one-legged seafaring man."
28,"In the meantime the captain gradually brightened up at his own music, and at last flapped his hand upon the table before him in a way we all knew to mean-silence. The voices stopped at once, all but Doctor Livesey's; he went on as before, speaking clear and kind, and drawing briskly at his pipe between every word or two."
29,"The captain glared at him for a while, flapped his hand again, glared still harder, and at last broke out with a villainous oath: ""Silence, there, between decks!"""
30,"""Were you addressing me, sir?"" said the doctor; and when the ruffian had told him, with another oath, that this was so, replied, ""I have only one thing to say to you, sir, that if you keep on drinking rum, the world will soon be quit of a very dirty scoundrel!"" The old fellow's fury was awful."
31,"He sprang to his feet, drew and opened a sailor's clasp-knife, and balancing it open on the palm of his hand, threatened to pin the doctor to the wall. The doctor never so much as moved."
32,"He spoke to him, as before, over his shoulder, and in the same tone of voice, rather high, so that all the room might hear, but perfectly calm and steady: ""If you do not put that knife this instant into your pocket, I promise, upon my honor, you shall hang at the next assizes."""
33,"Then followed a battle of looks between them; but the captain soon knuckled under, put up his weapon, and resumed his seat, grumbling like a beaten dog. ""And now, sir,"" continued the doctor, ""since I now know there's such a fellow in my district, you may count I'll have an eye upon you day and night."
34,"I'm not a doctor only, I'm a magistrate; and if I catch a breath of complaint against you, if it's only for a piece of incivility like to-night's, I'll take effectual means to have you hunted down and routed out of this. Let that suffice."""
35,"Soon after Doctor Livesey's horse came to the door and he rode away, but the captain held his peace that evening, and for many evenings to come. It was not very long after this that there occurred the first of the mysterious events that rid us at last of the captain, though not, as you will see, of his affairs."
36,"It was one January morning, very early-a pinching, frosty morning-the cove all gray with hoar-frost, the ripple lapping softly on the stones, the sun still low, and only touching the hill-tops and shining far to seaward."
37,"The captain had risen earlier than usual, and set out down the beach, his cutlass swinging under the broad skirts of the old blue coat, his brass telescope under his arm, his hat tilted back upon his head."
38,"I remember his breath hanging like smoke in his wake as he strode off, and the last sound I heard of him, as he turned the big rock, was a loud snort of indignation, as though his mind was still running upon Doctor Livesey."
39,"Well, mother was upstairs with father, and I was laying the breakfast table against the captain's return, when the parlor door opened and a man stepped in on whom I had never set my eyes before. He was a pale, tallowy creature, wanting two fingers of the left hand; and, though he wore a cutlass, he did not look much like a fighter."
40,"I had always my eyes open for seafaring men, with one leg or two, and I remember this one puzzled me. He was not sailorly, and yet he had a smack of the sea about him too."
41,"I asked him what was for his service, and he said he would take rum, but as I was going out of the room to fetch it he sat down upon a table and motioned to me to draw near. I paused where I was, with my napkin in my hand."
42,"""Come here, sonny,"" said he. ""Come nearer here."" I took a step nearer. ""Is this here table for my mate Bill?"" he asked, with a kind of leer. I told him I did not know his mate Bill, and this was for a person who stayed at our house, whom we called the captain."
43,"""Well,"" said he, ""my mate Bill would be called the captain, as like as not. He has a cut on one cheek, and a mighty pleasant way with him, particularly in drink, has my mate Bill. We'll put it, for argument like, that your captain has a cut on one cheek-and we'll put it, if you like, that that cheek's the right one."
44,"Ah, well! I told you. Now, is my mate Bill in this here house?"" I told him he was out walking. ""Which way, sonny? Which way is he gone?"" And when I had pointed out the rock and told him how the captain was likely to return, and how soon, and answered a few other questions."
45,"The expression of his face as he said these words was not at all pleasant, and I had my own reasons for thinking that the stranger was mistaken, even supposing he meant what he said. But it was no affair of mine, I thought; and, besides, it was difficult to know what to do."
46,"The stranger kept hanging about just inside the inn door, peering round the corner like a cat waiting for a mouse. Once I stepped out myself into the road, but he immediately called me back, and, as I did not obey quick enough for his fancy, a most horrible change came over his tallowy face, and he ordered me in with an oath that made me jump."
47,"As soon as I was back again he returned to his former manner, half-fawning, half-sneering, patted me on the shoulder, told me I was a good boy, and he had taken quite a fancy to me. ""I have a son of my own,"" said he, ""as like you as two blocks, and he's all the pride of my 'art."
48,"But the great thing for boys is discipline, sonny-discipline. Now, if you had sailed along of Bill, you wouldn't have stood there to be spoke to twice-not you. That was never Bill's way, nor the way of sich as sailed with him."
49,"And here, sure enough, is my mate Bill, with a spy-glass under his arm, bless his old 'art, to be sure. You and me'll just go back into the parlor, sonny, and get behind the door, and we'll give Bill a little surprise-bless his 'art, I say again."
50,"So saying, the stranger backed along with me into the parlor, and put me behind him into the corner, so that we were both hidden by the open door. I was very uneasy and alarmed, as you may fancy, and it rather added to my fears to observe that the stranger was certainly frightened himself."
51,"He cleared the hilt of his cutlass and loosened the blade in the sheath, and all the time we were waiting there he kept swallowing as if he felt what we used to call a lump in the throat."
52,"At last in strode the captain, slammed the door behind him, without looking to the right or left, and marched straight across the room to where his breakfast awaited him. ""Bill,"" said the stranger, in a voice that I thought he had tried to make bold and big."
53,"The captain spun round on his heel and fronted us; all the brown had gone out of his face, and even his nose was blue; he had the look of a man who sees a ghost, or the Evil One, or something worse, if anything can be; and, upon my word, I felt sorry to see him, all in a moment, turn so old and sick."
54,"""Come, Bill, you know me; you know an old shipmate, Bill, surely,"" said the stranger. The captain made a sort of gasp. ""Black Dog!"" said he. ""And who else?"" returned the other, getting more at his ease. ""Black Dog as ever was, come for to see his old shipmate, Billy, at the Admiral Benbow Inn."""
55,"When I returned with the rum they were already seated on either side of the captain's breakfast table-Black Dog next to the door, and sitting sideways, so as to have one eye on his old shipmate and one, as I thought, on his retreat. He bade me go and leave the door wide open."
56,"""None of your keyholes for me, sonny,"" he said, and I left them together and retired into the bar. For a long time, though I certainly did my best to listen, I could hear nothing but a low gabbling; but at last the voices began to grow higher, and I could pick up a word or two, mostly oaths, from the captain."
57,"Then all of a sudden there was a tremendous explosion of oaths and other noises; the chair and table went over in a lump, a clash of steel followed, and then a cry of pain, and the next instant I saw Black Dog in full flight, and the captain hotly pursuing, both with drawn cutlasses, and the former streaming blood from the left shoulder."
